rss,vms,num_page_faults,peak_wset,wset,peak_paged_pool,paged_pool,peak_nonpaged_pool,nonpaged_pool,pagefile,peak_pagefile,private,cpu_times,cpu_percent
634830848.0,605065216.0,429028.0,1123172352.0,634830848.0,796920.0,796920.0,1191600.0,171104.0,605065216.0,1119145984.0,605065216.0,"pcputimes(user=27.609375, system=1.640625, children_user=0.0, children_system=0.0)",0.0
901455872.0,908500992.0,538802.0,1123172352.0,901455872.0,802256.0,802256.0,1235384.0,184288.0,908500992.0,1119145984.0,908500992.0,"pcputimes(user=153.9375, system=2.15625, children_user=0.0, children_system=0.0)",197.7
2338467840.0,2323279872.0,1323256.0,3942289408.0,2338467840.0,802256.0,802256.0,1235384.0,181840.0,2323279872.0,3930353664.0,2323279872.0,"pcputimes(user=276.78125, system=3.53125, children_user=0.0, children_system=0.0)",103.5
